id,nombre,categoria
108,colchon palace con pillow,colchones
107,colchon palace sin pillow,colchones
102,colchon gold jackard sin pillow,colchones
119,colchon quantium,colchones
195,reposera 5 pociones aluminio,sillas
199,sube y baja,plaza
120,colchon elite,colchones
116,colchon gold jackard sin pillow,colchones
159,colchon equis,colchones
114,colchon palace sin pillow,colchones
112,colchon real 20alto,colchones
105,colchon eco 17alto,colchones
126,silla hindu,sillas
115,colchon super lujo,colchones
137,cajonera 6 cajones,mueble
129,silla eco,sillas
124,banco plegable,bancos
435,afeitadora r0050,cuidado personal
442,placard dakar 2 puertas,muebles
446,placard eco pack,muebles
118,colchon flow,colchones
127,silla sol pinito,sillas
135,comodon,mueble
130,bahiut,mueble
132,bahiut,mueble
134,ropero chifo 2 puertas,mueble
136,cajonera 5 cajones,mueble
156,bicicleta,bicicletas
144,biblioteca,biblioteca
138,cajonera 7 cajones,mueble
139,cajonera asia,mueble
140,cajonera asia,mueble
141,biblioteca,biblioteca
145,mesa de luz sommier,mueble
146,mesa de luz cajon y puerta,mueble
128,silla franchesca,sillas
67,colchon eco 13alto,colchones
149,hamaca gemela,hamacas
150,calesita,calesita
153,bicicleta,bicicletas
154,bicicleta,bicicletas
155,bicicleta,bicicletas
151,bicicleta,bicicletas
152,bicicleta,bicicletas
157,"ventilador 20""",ventiladores
113,colchon silver,colchones
117,colchon luxor,colchones
142,biblioteca,biblioteca
158,colchon gold jackar sin pillow,colchones
147,mesa de luz vintage,mueble
160,colchon gold jackard con pillow,colchones
97,colchon eco 13alto,colchones
121,mesa plegable,mesas
123,banco plegable,bancos
148,combo quincho,combo
122,mesa plegable,mesas
162,despensero,mueble
163,porta micro alto,mueble
164,porta micro bajo,mueble
165,modular,mueble
196,tobogan 3 escalones,plaza
436,superpuesta,mueble
53,"ventilador turbo 20""",ventiladores
185,toallero,mueble
167,placard macizo,mueble
168,placard macizo,mueble
191,combo quincho,combo
171,alzada maciza,mueble
200,ventilador turbo 20,electrodomesticos
178,mesa,mesas
443,placard dakar 3 puertas,muebles
174,mesa,mesas
177,mesa,mesas
179,"mesa trampa rectangular 1,40 a 1,80",mesas
180,quesera,mesas
181,quesera,mesas
182,quesera,mesas
209,colchon standard 17alto,colchones
187,vestidor,mueble
189,silla plegable,sillas
190,mesa plegable,mesas
183,toallero,mueble
175,mesa,mesas
192,rack tv,mueble
161,despensero,mueble
203,placard millenium 24,mueble
201,placard millenium 24,mueble
205,colchon eco 13alto,colchones
42,banco plegable,bancos
206,colchon eco 17alto,colchones
207,colchon standard 13alto,colchones
210,colchon exttra 13alto,colchones
169,taburete,bancos
66,colchon standard 17alto,colchones
212,colchon silver,colchones
213,colchon palace,colchones
188,vestidor,mueble
214,colchon palace doble pillow,colchones
215,colchon equis,colchones
216,colchon gold jackard,colchones
219,colchon eco 17alto,colchones
220,colchon standard 17alto,colchones
221,colchon extra,colchones
217,colchon super lujo,colchones
211,colchon flow,colchones
172,mesa,mesas
184,toallero,mueble
166,placard corredizo,mueble
173,mesa,mesas
186,toallero,mueble
222,colchon real,colchones
224,colchon palace,colchones
225,colcho palace con pillow,colchones
226,colchon super lujo,colchones
227,colchon equis,colchones
228,colchon gold jackard,colchones
437,cama 1 plaza 1/2,mueble
109,colchon eco 17alto,colchones
233,colchon silver,colchones
230,colchon eco 17alto,colchones
231,colchon standard,colchones
232,colchon real,colchones
234,colchon palace,colchones
235,colchon palace con pillow,colchones
236,colchon super lujo,colchones
237,colchon super lujo plus,colchones
238,colchon gold jackard,colchones
239,mesa plegable matera,mesas
240,colchon gold jackard con pillow,colchones
241,colchon luxor,colchones
229,box,box
223,colchon silver,colchones
444,combo bajo y alacena,combo
447,combo bajo y alacena,combo
452,kit de viaje,cortadora de cabello
449,combo bajo y alacena,combo
454,cortadora todo en 1,cortadora de cabello
456,"combo bajo,alacena y mesada",combo
458,"combo bajo,alacena y mesada",combo
460,cortadora de cabello 13 piezas,cortadora de cabello
85,cortadora de cabello,cortadora de cabello
467,placard darkar 12 puertas de abrir,mueble
471,placard corredizo,mueble
475,placard dakar corredizo,mueble
477,placard dakar 10 puertas de abrir,mueble
481,placard darkar 8 puertas de abrir,mueble
480,placard darkar 8 puertas de abrir,mueble
482,placard darkar 6 puertas de abrir,mueble
483,placard darkar 6 puertas de abrir,mueble
484,placard darkar 6 puertas de abrir,mueble
202,placard millenium 24,mueble
485,placard millenium 23,mueble
486,placard millenium 23,mueble
488,placard millenium 26,mueble
489,placard millenium 26,mueble
490,placard millenium 26,mueble
491,placard millenium 26,mueble
125,silla hindu eco,sillas
322,toallero,mueble
465,mesa,mesas
473,combo 25 + camastro,sillones
204,placard corredizo,mueble
131,bahiut,mueble
133,ropero chifo 1 puerta,mueble
208,cama nido doble,camas
143,biblioteca,biblioteca
438,planchita antiestatica,planchitas
251,termotanque 55l,electrodomesticos
250,termotanque 90l,electrodomesticos
279,alacena,mueble
218,box,box
254,colchon quantium,colchones
255,colchon ilusion,colchones
256,box,box
257,colchon deam on,colchones
258,bajo mesada,mueble
259,bajo mesada esquinero,mueble
260,bajo mesada,mueble
262,bajo mesada,mueble
263,bajo mesada,mueble
264,bajo mesada,mueble
266,alacena,mueble
267,alacena esquinera,mueble
268,alacena,mueble
280,alacena,mueble
274,cama superpuesta,camas
275,cama superpuesta,camas
276,cama,camas
277,alacena,mueble
278,alacena,mueble
281,alacena,mueble
282,cuna fija,cunas
283,cama,camas
284,cama superpuesta,camas
285,parrilla chulengo,parrillas
286,mesa,mesas
287,silla 2000,sillas
288,silla franchesca,sillas
289,silla sol,sillas
290,silla hindu reforzada,sillas
291,sillas hindu eco,sillas
292,sillas eco pintadas,sillas
271,termotanque 80l,termotanques
261,bajo mesada,mueble
252,lavarropa redondo,electrodomesticos
242,lavarropa semi automatico,electrodomesticos
253,secarropa 6kg,electrodomesticos
244,ventilador 20,electrodomesticos
243,ventilador 3 en 1 paleta de metal,electrodomesticos
269,termotanque 45l,termotanques
272,termotanque 90l,termotanques
245,cocina candor,electrodomesticos
273,termotanque 120l,termotanques
248,cocina master classic,electrodomesticos
246,cocina master classic,electrodomesticos
249,cocina master style,electrodomesticos
293,sillas,sillas
331,mesa trampa,mesas
320,toallero,mueble
294,silla abby doble respaldo,sillas
295,silla abby,sillas
296,silla victor maña,sillas
297,silla ella,sillas
298,silla reyna,sillas
299,silla tulum,sillas
300,silla la nueva,sillas
301,silla mia,sillas
302,silla adriana,caño
303,sillas issusi,sillas
304,silla kila,sillas
305,mesa eco,mesas
493,placard alto,mueble
306,mesa eco,mesas
307,mesa eco,mesas
308,mesa eco,mesas
309,mesa eco,mesas
310,mesa trampa,mesas
311,mesa plegable,mesas
312,mesa plegable,mesas
313,banco plegable,bancos
314,banco plegable,bancos
315,combo quincho,combo
316,reposeras 5 posiciones,sillas
317,reposera,sillas
318,tobogan 4 escalones,plaza
319,hamaca gemela,plaza
345,mesa eco con detalle,mesas
327,quesera,mueble
325,mesa plegable,mesas
324,silla plegable,sillas
329,mesa fija,mesas
330,mesa fija,mesas
333,mesa escandinava,mesas
334,mesa plegable matera,mesas
335,sillla escandinava,sillas
336,silla de comer de bebe,sillas
337,respaldo con boton,camas
339,respaldo con boton,camas
340,respaldo con boton,camas
341,microondas analogico,electrodomesticos
342,microondas digital,electrodomesticos
343,secarropa,electrodomesticos
332,mesa eco,mesas
344,secarropa,electrodomesticos
348,ventitador pie,electrodomesticos
349,placard corredizo,mueble
328,quesera,mueble
347,ventilador turbo,electrodomesticos
346,ventilador 3 en 1,electrodomesticos
326,quesera,mueble
321,taollero,mueble
323,taollero,mueble
270,termotanque 55l,termotanques
392,plancha blacksteam,electrodomestico
393,plancha,electrodomesticos
353,placard macizo alto,mueble
361,despensero,mueble
439,planchita botanicals,planchitas
373,cajonera asia,mueble
374,cajonera 6 cajones,mueble
382,tobogan 2 escalones,plaza
386,batidora manual vuelty,electrodomesticos
389,desmalezadora mptde52,maquinas
338,respaldo canelon,camas
370,alacena,mueble
357,alzada corrediza,mueble
354,alzada maciza,mueble
369,bajo mesada,mueble
366,biblioteca,mueble
367,biblioteca,mueble
375,cajonera 7 cajones,mueble
372,cajonera asia,mueble
378,desayunador,mueble
377,desayunador,mueble
381,estanteria 4 maderas,mueble
364,mesa de luz cajon y puerta,mueble
363,mesa de luz vintage,mueble
359,modular,mueble
390,baridora con bowl,electrodomesticos
394,batidora de mano,electrodomesticos
385,batidora manual optibat,electrodomesticos
398,lucuadora,electrodomesticos
396,lucuadora 2 en 1,electrodomesticos
399,mixer mas accesorios,electrodomesticos
387,multiprocesadora mega pros,electrodomesticos
395,panquequera electrica,electrodomesticos
397,pava electrica,electrodomesticos
401,secador de pelo botanicals,electrodomesticos
402,secador de pelo collagen y blotin,electrodomesticos
400,secador de pelo shine terapia,electrodomesticos
403,ssecador de pelo one,electrodomesticos
384,waflera electrica,electrodomesticos
376,cajonera 5 cajones,mueble
383,cristaler bajo,mueble
362,despensero,mueble
365,mesa de luz vintage doble cajon,mueble
360,modular,mueble
358,placard corredizo,mueble
350,placard corredizo,mueble
356,placard macizo,mueble
351,placard macizo,mueble
352,placard macizo,mueble
380,porta micro alto,mueble
379,porta micro bajo,mueble
404,plancha y secador de pelo,cuidado personal
391,plancha ironplus,electrodomestico
421,bordeadora electrica,maquinas
406,placard macizo,mueble
407,placard corredizo,mueble
408,alzada corrediza,mueble
409,alzada corrediza,mueble
410,carro cama,mueble
368,biblioteca,mueble
371,cristalero 2 puerta,mueble
355,parrilla,parrillas
445,placard dakar 3 puertas,muebles
448,placard dakar plus 6 puertas,muebles
450,placar dakar plus 8 puertas,muebles
420,"cama eco 2/1,2",mueble
422,chifo 1 puerta,mueble
423,chifo 2 puertas,mueble
440,maquina de cortar pelo,cortadora de cabello
425,hidrolavadora,electrodomesticos
424,motocierra naftera,maquinas
451,combo bajo y alacena,combo
419,taladro percutor,maquinas
418,combo taladro + moladora,maquinas
426,desmalezadora,maquinas
427,mesada,mesadas
429,mesada,mesadas
415,cocina master style,electrodomesticos
417,cocina master style,electrodomesticos
416,cocina  classic,electrodomesticos
430,mesada,mesadas
431,mesada,mesadas
432,mesada,mesadas
247,cocina master style,electrodomesticos
433,afeitadora r36a,cuidado personal
414,planchita botanicals,cuidado personal
413,planchita shine terapia,cuidado personal
453,combo bajo y alacena,combo
455,cortadora de cabello easy fade,cortadora de cabello
457,"combo bajo,alacena,mesada",combo
459,"combo bajo,alacena y mesada",combo
461,cortadora de cabelo dual shave,cortadora de cabello
462,mesa de luz 2 cajones,muebles
468,placard darkar 12 puertas de abrir,mueble
469,placard darkar 12 puertas de abrir,mueble
474,combo 13,sillones
476,alzada corrediza,mosconi
478,placard darkar 10 puertas de abrir,mueble
479,placard darkar 10 puertas de abrir,mueble
494,placard alto,mueble
265,bajo mesada,mueble
428,mesada,mesadas
472,combo chester + camastro,sillones
470,mesa,mesas
412,mesa,mesas
466,mesa,mesas
487,placard millenium 22,mueble
492,placard millenium 22,mueble
496,placard millenium 22,mueble
497,placard millenium 22,mueble
498,messa matera redonda,mesas
499,masa matera cuadrada,mesas
500,alacena,mueble
501,alacena,mueble
502,alacena,mueble
503,alacena,mueble
504,alacena,mueble
505,alacena,mueble
507,bajo mesada,mueble
508,bajo mesada,mueble
509,bajo mesada,mueble
510,bajo mesada,mueble
511,comoda 4 cajones nature,mueble
512,bicicleta niño,bicicletas
513,bicicleta niño,bicicletas
514,comoda 4 cajones nebrasca,mueble
515,bicicleta niño,bicicletas
516,bicicleta niño,bcicletas
506,bicicleta,bicicletas
517,cocina compacta,muebles
518,bajo mesada,muebles
519,alacena,muebles
520,bacha de acero,muebles
521,mesada,mesadas
522,box benethon 2 plazas,mueble
523,"despencero 1,80 de alto",mueble
524,"escobero dos puertas 1,80 de alto",mueble
525,aparador de cocina,mueble
526,aparador de cocina,mueble
527,aparador de cocina,mueble
528,porta micro alto columna,mueble
529,porta bajo con cajon,mueble
530,escritorio classic,mueble
531,escritorio 709,mueble
532,escritorio 720,mueble
533,"escobero dos puertas 1,50 de alto",mueble
534,cocina compacta,mueble
535,placard alto,muebles
536,placard alto,mueble
434,mesada,mesadas
538,plancha seca alizza,planchas
539,pava electrica,pava electrica
541,batidora manual,batidoras manuales
542,batidora manual vuelty,batidoras manuales
544,mesa matera cuadrada,mesas
543,mesa matera redonda,mesas
545,licuadora blacklic,licuadoras
548,vestidor,mueble
540,tostadora electrica poster,electrodomesticos
546,parlate portatil party 12,electrodomestico
547,parlante eco bomm,electrodomestico
33,reposera 5 posiciones,reposeras
405,manijas para mueble,mueble
549,mesada,mesadas
550,mesada,mesadas
588,sillon mini chester,sillones
551,mesa eco,mesas
463,mesa eco,mesas
464,mesa trampa,mesas
411,mesa,mesas
552,secarropa 6kg,electrodomesticos
553,parlante tripode,parlantes
554,parlante supercrush,parlantes
555,parlante nitromood,parlantes
556,silla ela,sillas
557,silla la nueva,sillas
558,silla adriana,sillas
559,silla cupula,sillas
560,silla luna,sillas
561,silla reyna,sillas
562,banqueta,sillas
563,silla apilable,sillas
564,respaldo,respaldos
565,respaldo,respaldos
566,respaldo canelon,respaldos
567,respaldo capilla,respaldos
568,respaldo,respaldos
569,respaldo,respaldos
570,licuadora 2en1,licuadoras
571,licuadora blender,licuadoras
572,licuadora,licuadoras
573,batidora de mano,batidora de mano
574,batidora de mano,batidora de mano
577,perchero,perchero
578,perchero,perchero
579,comoda nature,muebles
580,mesa tv 120,muebles
581,freidora de aire,electrodomesticos
582,evod bravery 215,electrodomesticos
589,sollon combo 66,sillones
584,mesa,mesas
590,sillon combo 61,sillones
583,silla plegable,sillas
585,pava elecetrica,electrodomesticos
586,combo quincho,combo
587,sillon combo 17,sillones
591,conjunto real 20alto,combo
592,sillon combo 8,sillones
595,sillon combo 66,sillones
597,sillon combo 23,sillones
598,conjunto g.jackard c/pillow,combo
593,conjunto g.jackard c/pillow,combo
594,conjunto g.jackard,combo
575,tostadora,electrodomesticos
576,tostadora,electrodomesticos
599,conjunto super lujo,combo
600,sillon combo 14,sillones
601,conjunto super lujo,combo
602,conjunto super lujo,combo
603,conjunto palace c/pillow,combo
604,conjunto palace c/pillow,combo
605,comoda dakar zero,mueble
606,conjunto palace s/pillow,combo
608,conjunto luxor,combo
609,conjunto luxor,combo
611,conjunto silver,combo
612,conjunto silver,combo
615,conjunto flow,combo
616,conjunto flow,combo
618,desmalezadora,electrodomesticos
619,conjunto equis,combo
617,box benethon,camas
620,desmalezadora,electrodomesticos
613,conjunto equis,combo
614,conjunto equis,combo
621,set de ollas,sets de ollas
622,set de ollas,sets de ollas
596,conjunto g.jackard s/pillow,combo
623,combo sommier super lujo,combo
607,conjunto palace,combo
624,combo sommier silver,combo
625,combo sommier gold jackar,combo
627,combo sommier palace pillow,combo
628,combo sommier flow,combo
629,combo sommier flow,combo
633,set de sartenes,sets de ollas
630,combo sommier equis,combo
631,combo sommier equis,combo
636,combo sommier equis,combo
626,combo sommier palace,combo
632,combo sommier real,combo
635,combo sommier gold jackar pillow,combo
634,combo sommier gold jackar,combo
637,cocina master classic,cocinas
638,cocina master style,cocinas
639,combo sommier equis,combo
640,combo sommier super lujo,combo
641,combo sommier super lujo,combo
643,lavarropas semi automatico,lavarropas
645,silla ella,.
646,sillas eco hindu,sillas
648,silla reyna,.
647,silla hindu eco,sillas
610,futon,sillones
651,sofa cama,sillones
650,sillon futon,sillones
642,lavarropa redondo,lavarropas
649,silla juli,sillas
652,combo sommier palace,combo
653,combo sommier palace pillow,combo
654,combo sommier silver,combo
655,combo sommier silver,combo
656,combo sommier luxor,combo
657,combo sommier luxor,combo
658,combo sommier super lujo plus,combo
659,combo sommier quantium,combo
660,combo sommier quantium,combo
661,combo sommier ilusion,combo
663,bolso de herramientas 28pcs/set,herramientas
662,bolso de herramientas,herramientas
664,lavarropa semi automatico,lavarropas
665,mini chester,sillones
666,sillon combo 8,sillones
667,sillon combo 15,sillones
668,sillon combo 61,sillones
669,sillon combo 61,sillones
670,mesa pintada,mesas
671,silla pintada,sillas
672,sillon combo 13,sillones
673,sillon combo 25,sillones
674,sillon combo 6,sillones
675,sillon combo 68,sillones
676,sillon combo 19,sillones
677,sillon combo 4,sillones
678,sillon combo 38,sillones
679,panel de tv,mueble
680,silla cupula,mueble
682,silla aby,sillas
683,silla aby doble respaldo,sillas
684,silla adriana,sillas
685,silla issusi,sillas
681,silla kila,mueble
644,silla 2000,sillas
686,silla tulum,sillas
687,silla victor,sillas
688,silla la nueva,sillas
689,mesa,mueble
690,mesa,mueble
691,mesa,mueble
692,mesa trampa,mueble
695,respaldo,respaldo
694,respaldo,respaldo
696,respaldo,respaldo
697,respaldo,respaldo
698,respaldo,respaldo
699,colchon de cuna,colchones
700,colchon de cuna,colchones
701,silla de bebe,sillas
702,desmalezadora a nafta,electrodomestico
703,combo taladro+amoladora,electrodomestico
704,pava electrica,electrodomestico
705,almoadones de silla,tela
693,mesa escandilava,mueble
706,auriculares,tecnologia
707,parlante mini,parlantes
708,purificador,purificadores
537,waflera electrica crunchywar,electrodomesticos
709,secador de pelo,cuidado personal
710,secador de pelo,cuidado personal
711,secador de pelo,cuidasdo personal
712,secador de pelo,cuidado personal
713,planchita y secador,cuidsdo personal
714,planchita y cepillo secador,cuidado personal
